title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Access Voucher,30.0,2.0,success,False,2026-08-21T00:24:54.126348+09:00
Access Watch,720.0,11.0,success,False,2026-08-17T21:38:35.218560+09:00
Access Wave,880.0,7.0,success,False,2026-08-17T21:33:17.550972+09:00
Access Widget,22200.0,3.0,success,False,2026-08-27T23:12:54.177935+09:00
Access Workbench,10.0,0.0,success,False,2026-08-18T22:10:04.357387+09:00
Access Workshop,140.0,15.0,success,False,2026-08-28T00:24:36.830973+09:00
Access Zone,170.0,0.0,success,False,2026-08-17T20:35:36.002153+09:00
Accreditation Advance,,,failed,False,2026-08-23T16:17:15.012584+09:00
Accreditation Advisory,,,failed,False,2026-08-21T01:08:00.929637+09:00
Accreditation Agreement,20.0,0.0,success,False,2026-08-29T13:23:36.665779+09:00
Accreditation Alert,,,failed,False,2026-08-19T21:18:03.656517+09:00
Accreditation Allowance,,,failed,False,2026-08-21T02:38:04.709344+09:00
Accreditation Analyzer,,,failed,False,2026-08-27T23:56:32.424799+09:00
Accreditation Announcement,50.0,0.0,success,False,2026-08-27T23:34:39.372847+09:00
Accreditation Arrears,,,failed,False,2026-08-23T16:17:12.971292+09:00
Accreditation Assistant,110.0,3.0,success,False,2026-08-19T21:12:43.604286+09:00
Accreditation Atlas,,,failed,False,2026-08-19T21:11:59.918866+09:00
Accreditation Attribute,,,failed,False,2026-08-23T13:07:26.060181+09:00
Accreditation Authorization,,,failed,False,2026-08-29T12:40:39.776561+09:00
Accreditation Badge,210.0,14.0,success,False,2026-08-21T00:32:57.061306+09:00
Accreditation Base,,,failed,False,2026-08-19T21:07:49.558493+09:00
Accreditation Bay,,,failed,False,2026-08-19T21:16:27.560091+09:00
Accreditation Beacon,,,failed,False,2026-08-19T21:05:15.949286+09:00
Accreditation Bill,,,failed,False,2026-08-19T21:47:55.928943+09:00
Accreditation Bin,,,failed,False,2026-08-19T21:18:24.331096+09:00
Accreditation Board,1000.0,1.0,success,False,2026-08-19T21:08:19.397533+09:00
Accreditation Book,,,failed,False,2026-08-19T21:49:05.079544+09:00
Accreditation Booth,,,failed,False,2026-08-19T21:15:54.238919+09:00
Accreditation Bridge,,,failed,False,2026-08-19T21:05:54.912887+09:00
Accreditation Brief,,,failed,False,2026-08-21T01:07:54.087465+09:00
Accreditation Bulletin,,,failed,False,2026-08-21T01:07:49.697646+09:00
Accreditation Cabinet,,,failed,False,2026-08-27T23:13:00.467969+09:00
Accreditation Calendar,,,failed,False,2026-08-19T21:14:34.800336+09:00
Accreditation Card,880.0,1.0,success,False,2026-08-19T21:29:07.329786+09:00
Accreditation Cascade,,,failed,False,2026-08-19T21:05:41.663242+09:00
Accreditation Cash,,,failed,False,2026-08-21T02:30:57.020640+09:00
Accreditation Cashback,,,failed,False,2026-08-27T21:14:04.974327+09:00
Accreditation Category,,,failed,False,2026-08-23T13:07:26.060181+09:00
Accreditation Center,260.0,2.0,success,False,2026-08-19T21:09:29.663933+09:00
Accreditation Charge,,,failed,False,2026-08-21T02:37:53.787359+09:00
Accreditation Chart,,,failed,False,2026-08-19T21:18:11.999906+09:00
Accreditation Check,590.0,1.0,success,False,2026-08-19T21:29:21.643935+09:00
Accreditation Checker,590.0,1.0,success,False,2026-08-27T23:56:30.078148+09:00
Accreditation Circular,10.0,0.0,success,False,2026-08-21T01:07:56.327187+09:00
Accreditation Code,50.0,0.0,success,False,2026-08-19T21:48:22.940977+09:00
Accreditation Companion,,,failed,False,2026-08-19T21:13:29.995507+09:00
Accreditation Comparison,,,failed,False,2026-08-28T01:07:41.597003+09:00
Accreditation Compass,,,failed,False,2026-08-19T21:05:03.787854+09:00
Accreditation Confirmation,10.0,0.0,success,False,2026-08-21T01:08:07.982267+09:00
Accreditation Console,,,failed,False,2026-08-19T21:10:07.849360+09:00
Accreditation Contribution,,,failed,False,2026-08-23T16:17:10.658953+09:00
Accreditation Copayment,,,failed,False,2026-08-23T16:37:08.695688+09:00
Accreditation Copy,,,failed,False,2026-08-28T01:26:03.815490+09:00
Accreditation Core,,,failed,False,2026-08-19T21:07:58.848698+09:00
Accreditation Cost,50.0,3.0,success,False,2026-08-21T02:13:43.743607+09:00
Accreditation Count,,,failed,False,2026-08-27T22:47:28.680273+09:00
Accreditation Counter,,,failed,False,2026-08-19T21:15:33.096576+09:00
Accreditation Coupon,,,failed,False,2026-08-27T21:13:56.719259+09:00
Accreditation Deadline,,,failed,False,2026-08-29T12:40:16.173014+09:00
Accreditation Deal,,,failed,False,2026-08-21T01:57:10.227780+09:00
Accreditation Debt,,,failed,False,2026-08-21T02:30:47.137745+09:00
Accreditation Deck,,,failed,False,2026-08-19T21:08:29.245582+09:00
Accreditation Desk,480.0,2.0,success,False,2026-08-19T21:04:11.577084+09:00
Accreditation Detail,,,failed,False,2026-08-23T03:18:48.364198+09:00
Accreditation Detector,,,failed,False,2026-08-27T23:56:32.424799+09:00
Accreditation Diagnostic,,,failed,False,2026-08-29T12:40:29.444779+09:00
Accreditation Directory,,,failed,False,2026-08-19T21:14:44.485943+09:00
Accreditation Discount,,,failed,False,2026-08-23T16:17:06.545040+09:00
Accreditation Dossier,,,failed,False,2026-08-21T01:08:12.622841+09:00
Accreditation Draft,,,failed,False,2026-08-19T21:30:56.024739+09:00
Accreditation Due,,,failed,False,2026-08-23T15:52:52.908788+09:00
Accreditation Duration,,,failed,False,2026-08-29T12:40:18.664680+09:00
Accreditation Duty,,,failed,False,2026-08-21T02:37:55.962761+09:00
Accreditation Endowment,,,failed,False,2026-08-23T15:52:54.963093+09:00
Accreditation Engine,,,failed,False,2026-08-19T21:12:33.528106+09:00
Accreditation Entry,,,failed,False,2026-08-21T01:08:27.933703+09:00
Accreditation Estimate,,,failed,False,2026-08-19T21:31:45.728679+09:00
Accreditation Estimator,,,failed,False,2026-08-27T23:56:27.794878+09:00
Accreditation Excerpt,,,failed,False,2026-08-21T01:08:23.538465+09:00
Accreditation Extension,,,failed,False,2026-08-23T16:37:14.050450+09:00
Accreditation Fare,,,failed,False,2026-08-21T02:13:47.898953+09:00
Accreditation Fee,260.0,0.0,success,False,2026-08-21T01:56:55.992066+09:00
Accreditation Feed,,,failed,False,2026-08-19T21:30:47.462824+09:00
Accreditation File,,,failed,False,2026-08-19T21:30:18.297847+09:00
Accreditation Fine,,,failed,False,2026-08-23T02:54:11.154631+09:00
Accreditation Flag,,,failed,False,2026-08-21T00:33:34.783519+09:00
Accreditation Flow,,,failed,False,2026-08-19T21:03:47.017770+09:00
Accreditation Folder,,,failed,False,2026-08-28T01:26:03.815490+09:00
Accreditation Forecast,,,failed,False,2026-08-29T12:40:10.733932+09:00
Accreditation Form,320.0,1.0,success,False,2026-08-19T21:20:12.462826+09:00
Accreditation Format,320.0,1.0,success,False,2026-08-23T13:07:32.830763+09:00
Accreditation Frame,,,failed,False,2026-08-19T21:07:40.402937+09:00
Accreditation Fund,,,failed,False,2026-08-21T02:30:51.336298+09:00
Accreditation Gate,,,failed,False,2026-08-19T21:11:37.631930+09:00
Accreditation Generator,,,failed,False,2026-08-27T23:34:44.753648+09:00
Accreditation Giveaway,,,failed,False,2026-08-27T21:14:11.708321+09:00
Accreditation Grade,,,failed,False,2026-08-21T00:33:14.863078+09:00
Accreditation Grid,,,failed,False,2026-08-19T21:06:46.189471+09:00
Accreditation Guarantee,,,failed,False,2026-08-28T01:07:52.961175+09:00
Accreditation Guardian,,,failed,False,2026-08-28T00:25:53.963495+09:00
Accreditation Guide,90.0,1.0,success,False,2026-08-29T13:23:21.371866+09:00
Accreditation Harbor,,,failed,False,2026-08-19T21:17:17.082757+09:00
Accreditation Helpdesk,,,failed,False,2026-08-27T22:47:28.680273+09:00
Accreditation Helper,50.0,74.0,success,False,2026-08-28T00:25:56.872854+09:00
Accreditation History,10.0,0.0,success,False,2026-08-19T21:30:12.319072+09:00
Accreditation Hub,30.0,0.0,success,False,2026-08-19T21:03:59.838072+09:00
Accreditation Identifier,,,failed,False,2026-08-23T13:07:23.083484+09:00
Accreditation Inbox,,,failed,False,2026-08-19T21:17:55.830991+09:00
Accreditation Incentive,,,failed,False,2026-08-27T21:14:09.355453+09:00
Accreditation Index,,,failed,False,2026-08-19T21:31:27.001536+09:00
Accreditation Installment,,,failed,False,2026-08-23T16:17:10.658953+09:00
Accreditation Item,,,failed,False,2026-08-21T01:56:59.891240+09:00
Accreditation Journal,,,failed,False,2026-08-19T21:14:12.923572+09:00
Accreditation Keeper,,,failed,False,2026-08-19T21:12:09.668415+09:00
Accreditation Kiosk,,,failed,False,2026-08-19T21:16:06.341907+09:00
Accreditation Kit,,,failed,False,2026-08-27T22:47:20.471641+09:00
Accreditation Lab,1900.0,17.0,success,False,2026-08-19T21:08:52.385641+09:00
Accreditation Label,,,failed,False,2026-08-27T22:08:06.352004+09:00
Accreditation Ledger,,,failed,False,2026-08-19T21:08:09.987838+09:00
Accreditation Level,170.0,0.0,success,False,2026-08-19T21:30:26.736781+09:00
Accreditation Line,,,failed,False,2026-08-19T21:19:14.051362+09:00
Accreditation Link,,,failed,False,2026-08-23T03:18:44.540602+09:00
Accreditation List,260.0,1.0,success,False,2026-08-19T21:48:37.941943+09:00
Accreditation Loan,,,failed,False,2026-08-21T02:13:55.363048+09:00
Accreditation Lobby,,,failed,False,2026-08-19T21:18:48.274039+09:00
Accreditation Locator,,,failed,False,2026-08-19T21:14:58.322778+09:00
Accreditation Locker,,,failed,False,2026-08-19T21:15:44.600624+09:00
Accreditation Log,,,failed,False,2026-08-19T21:20:00.703413+09:00
Accreditation Loop,,,failed,False,2026-08-19T21:06:37.485931+09:00
Accreditation Manager,590.0,2.0,success,False,2026-08-19T21:12:22.393942+09:00
Accreditation Manual,40.0,0.0,success,False,2026-08-27T22:08:10.673360+09:00
Accreditation Map,10.0,0.0,success,False,2026-08-19T21:07:29.278050+09:00
Accreditation Margin,,,failed,False,2026-08-23T02:54:08.933520+09:00
Accreditation Markup,,,failed,False,2026-08-23T16:37:06.410620+09:00
Accreditation Memo,,,failed,False,2026-08-21T00:33:20.736767+09:00
Accreditation Message,,,failed,False,2026-08-27T23:12:50.672441+09:00
Accreditation Monitor,,,failed,False,2026-08-19T21:13:19.288024+09:00
